veinte pies;двадцать футов
la hembra;самка
el depredador;хищник
la serpiente ;змея
сrecer;расти
lleno;полный
silvestre;дикий (о животных)
extrañamente;странно
silencioso;тихий, беззвучный
el mapache;енот
el conejo de pantano;болотный кролик
la zarigüeya;опоссум
el lince rojo;рысь красная / рыжая
el caimán;кайман
el venado;олень
invasora;захватчица, захватническая
serpiente invasora;«змея-инвазия» (вредоносно вторгшаяся змея)
sofocante;душный 
tuviera olor;имело запах (Subjuntivo Imperfecto, 3 л. ед. ч. от tener)
para encontrar;чтобы находить
había intentado;пытался (Pretérito Pluscuamperfecto)
dispuesto;готовый, склонный, расположенный
estuvo dispuesto;был готов
a intentarlo;попробовать это
olfato;обоняние, нюх, чутье
refugio (de animales);приют
sociedades humanitarias;гуманитарные общества
agencias de rescate;агентства по спасению 
le encantaba hacerlo;ему очень нравилось это делать
peligro;опасность
