un pantano;болото
la amenaza;угроза
hasta que las pitones ya no sean una amenaza para los animales;пока питоны больше не будут угрозой для животных
el propósito;цель, намерение
sumamente;чрезвычайно, крайне
propósito sumamente;чрезвычайно важная цель
definitivo;окончательный, постоянный
hogar definitivo;постоянный дом
la rapidez;быстрота
con su rapidez de encontrar pitones;со своей способностью быстро находить питонов
el indígena, la indígena (indígenas);коренной житель / абориген
pueblos indígenas;коренные народы
un manatí;ламантин, морская корова
el pez (peces);«живая рыба» (в воде), а el pescado — «рыба» как продукт питания.
el mamífero;млекопитающий
el reptil (reptiles);рептилия, пресмыкающийся
